Soru,Cevap
"Var olmanın anlamı, niteliği ve amacı vb. sorularla uğraşan felsefe alanı aşağıdakilerden hangisidir?","Ontoloji, yani varlık felsefesi, varlığı varlık olarak inceler. Var olmanın anlamı, niteliği ve amacı vb. sorularla uğraşır."
"Aşağıdakilerden hangisi, alım-satım ilişkilerinde geçerli olmasına rağmen suç-ceza ilişkisinde de uygulama alanı bulan adalet türüdür?","Denkleştirici adalet, Aristoteles’in pazar adaleti dediği, eşya ve hizmetlerin değiş tokuşunda geçerli adalettir. Temelinde edim - karşı edim ilişkisinin yer aldığı bu adalet türünün temelinde bir eşitlik düşüncesi vardır. Bu adalete göre hiç kimse verdiğinden daha fazla almamalıdır. Aksi takdirde taraflar arasındaki denge bozulmuş olur. Denkleştirici adalet çoğu zaman alım-satım ilişkilerinde karşımıza çıksa da suç-ceza ilişkisinde de uygulama alanı bulur. Kişi, hangi suçu işlemişse ona uygun bir ceza almalıdır. Doğru cevap D seçeneğidir."
"İnsanın, içinde yaşadığı evrene, yaratıcısına, kendisine ve toplumuna dair tutarlı, bütünlüklü ve akli bir sorgulama faaliyetine ne ad verilir?","İnsanın, içinde yaşadığı evrene, yaratıcısına, kendisine ve toplumuna dair tutarlı, bütünlüklü ve akli bir sorgulama faaliyetine felsefe adı verilir."
"Bir kuaförün çırağına müşterileri güler yüzle karşılaması ve ikramda bulunması konusunda verdiği öğüt, aşağıdaki kavramlardan hangisi ile açıklanabilir?","Meslek ahlâkı, yer ve zamana göreli, belirli bir meslekle sınırlı birtakım ahlâki davranış standartlarını ifade ederken; meslek etiği, her toplumda ve hemen hemen bütün meslekler için geçerli evrensel ahlâki normlara işaret eder. Doğru cevap B seçeneğidir."
“İnsan eylemlerinin niteliği üzeri­ne gerçekleştirilen bir felsefi düşünme şekli” olarak adlandırılan kavram aşağıdakilerden hangisidir?,Yukarıda tanımı yapılan kavram Etiktir. Dolayısıyla cevap “E” seçeneğidir.
"Birbirinden çok farklı mesleklerin ortaya çıkması, hatta belirli bir meslek içerisinde alt dalların oluşması, mesleklerin yeni yöntemlerle icra edilmesine ne ad verilir?","Uzmanlaşma, birbirinden çok farklı mesleklerin ortaya çıkması, hatta belirli bir meslek içerisinde alt dalların oluşması, mesleklerin yeni yöntemlerle icra edilmesi anlamına gelir. Bu da formel bir meslek eğitimine ihtiyaç doğurur."
"İnsan haklarının adının konması, bir öğreti, akademik bir disiplin halini alması ilke kez hangi yüzyılda olmuştur?", 
"Etiğin, bir kere daha felsefenin gündemine girmesi öncelikle hangi teorilerin eleştirilmesiyle olmuştur?","Etiğin, bir kere daha felsefenin gündemine girmesi öncelikle meta-etik teorilerin eleştirilmesiyle olmuştur. Ahlâki sorunların salt kavramsal ve dilsel analiz yöntemiyle ele alınmasının yetersizliği görülmüş, klasik normatif etik teorilerinin yeniden gözden geçirilmesi gerektiği kabul edilmiştir."
"Bireye toplumda kabul edilmiş bir yer, statü ve kendine saygı gibi birtakım katkılar sağlayan bir olguya ne ad verilir?","Psikolojik açıdan iş; bireye toplumda kabul edilmişbir yer, statü ve kendine saygı gibi birtakım katkılar sağlayan bir olgu olarak tanımlanır. Doğru cevap C seçeneğidir."
Bir yandan insanı diğer canlılardan ayıran ve biricik kılan özniteliği diğer yandan kişinin insani biricikliğini temellendiren değerler bütününe ne ad verilir?,"İnsan onuru, bir yandan insanı diğer canlılardan ayıran ve biricik kılan özniteliği diğer yandan kişinin insani biricikliğini temellendiren değerler bütünüdür. Buna göre doğru cevap C şıkkıdır."
Aşağıdakilerden hangisi ahlak kavramını belirleyen esaslar ile ilgili yanlıştır?  ,"Ahlâk kavramı, bir düzen kavramıdır; ilke kavramı değildir. Düzen kavramları (örneğin devlet, bilgi, sanat) çeşitli ampirik verilerle bir açıdan bir anlam bütünü oluşturur. Böylelikle “devlet” kavramı, bir toplumun ilişkiler ağını düzenleyen hukuksal, siyasal, ekonomik ilişkilerin modeli olarak görülebilir."
"Ahlâk felsefesinin temel işlevinin, ‘betimleyici’ değil de ‘buyurucu’ yargılar aracılığıyla ne yapmamız gerektiğini bildirmek olduğunu, dolayısıyla ‘olan’dan çok ‘olması gereken’le ilgilendiğini savunan etik teorisi aşağıdakilerden hangisidir?","Ahlâk felsefesinin temel işlevinin, ‘betimleyici’ değil de ‘buyurucu’ yani ‘kural koyucu’ yargılar aracılığıyla ne yapmamız gerektiğini bildirmek olduğunu,
dolayısıyla ‘olan’dan çok ‘olması gereken’le ilgilendiğini savunan etik teorisi, kuralkoyucu etik teorisidir. Buna göre doğru cevap D şıkkıdır."
İşletmelerin mal ve hizmet üretirken gerek örgüt gerekse kişi düzeyinde uyması gereken davranış standartları hangi meslek etiğinin konuları arasındadır?,"İş etiğinin konusu, işletmelerin mal ve hizmet üretirken gerek örgüt gerekse kişi düzeyinde uyması gereken davranış standartlarıdır."
"Asıl sorunumuz, düşmanımı kendimden nasıl korurum olmalı, cümlesi bize hangi etikten bahsetmektedir? ","Asıl sorunumuz, düşmanımı kendimden nasıl korurum olmalı, cümlesi bize barış  etiğinden bahsetmektedir. Doğru cevap B seçeneğidir."
"""İnsanın fiziksel çevresini değiştirmek için gerçekleştirdiği amaçlı bir çaba"" olarak tanımlanan kavram aşağıdakilerden hangisidir?","Çalışma kısaca “insanın fiziksel çevresini değiştirmek için gerçekleştirdiği amaçlı bir çaba” şeklinde tanımlanabilir. Bu tanımdan hareketle çalışmanın fiziksel ve zihinsel bir etkinlik olduğunu söyleyebiliriz. Zira çalışma aracılığıyla insan çevresindeki nesneleri dönüştürür, onlara kendi bireysel veya toplumsal amaçları doğrulusunda yeni şekiller verir. Doğru cevap A'dır."
İnsan hakları ile ilgili olarak kralın otoritesini belli ölçüde sınırlandıran ve feodal beylerin bazı haklarını güvence altına alan ilk belge aşağıdakilerden hangisidir?,"Magna Carta, kralın otoritesini belli ölçüde sınırlandıran ve feodal beylerin bazı haklarını güvence altına alan ilk belge özelliği taşır. Buına göre doğru cevap B şıkkıdır."
"Aşağıdakilerden hangisi ya da hangileri ahlak yargıları ile ilgili temel özellikler arasında yer alır?
I. Ahlâk yargıları kural koyucu dil türündendir.
II. Diğer kural koyucu yargılardan evrenselleştirilebilir olma özelliğiyle ayrılır.
III. Yargılar arasındaki mantıksal ilişkilerin ortaya konulması rasyonelliğe götürür.","Ahlâk yargıları hakkında üç temel özellikten bahsedilebilir. Bunlar:
1. Ahlâk yargıları kural koyucu dil türündendir.
2. Diğer kural koyucu yargılardan evrenselleştirilebilir olma özelliğiyle ayrılır.
3. Bu yargılar arasındaki mantıksal ilişkilerin ortaya çıkarılması ahlâkta rasyonelliği mümkün kılar."
Émile Durkheim’ın ekonomik yaşamı düzeltmek için çare beklediği kurum aşağıdakilerden hangisidir?,"Durkheim’ın ekonomik yaşamı düzeltmede çare beklediği kurum, geleneksel toplumların hemen hemen hepsinde görülen lonca teşkilatıdır."
Uluslararası düzeyde insan haklarının korunmasını amaçlayan ilk belge aşağıdaki seçeneklerden hangisidir ?,"BM’nin 10 Aralık 1948’de kabul ettiği BM İnsan Hakları Evrensel Bildirisi, insan haklarının uluslararası düzeyde korunmasına yönelik adımların ilki ve en önemlisidir."
Aşağıdakilerden hangisi adaletin kelime anlamı olarak maddi ve manevi geniş kullanım alanlarından biri değildir?,Cevap D şıkkıdır. Diğer şıklar adaletin kullanım alanına ilişkindir.
İnançları yüzünden hapis cezasına çarptırılan birinin hangi hakları ihlal edilmiş olur ?,Birinci kuşak haklar;
Aşağıdakilerden hangisi mesleğin tanımıdır?,"İnsanlara yararlı mal ve hizmetler üretmek ve bunun karşılığında para kazanmak için yapılan, belli bir eğitimle kazanılan sistemli bilgi ve becerilere dayalı, kuralları toplumca belirlenen ve etik değerleri kapsayan etkinlikler bütünü meslek olarak tanımlanır."
BM İnsan Hakları Evrensel Bildirisi kaç yılında kabul edilmiştir?,BM İnsan Hakları Evrensel Bildirisi 1948 yılında kabul edilmiştir. Buna göre doğru cevap B şıkkıdır.
İngiliz düşünce tarihinde ilk defa felsefi bir okul kurmuş olan düşünür aşağıdakilerden hangisidir?,"Jeremy Bentham’ın önemi, isim babası sayılan faydacılığın ana ilkelerini belirlemiş ve onu sistemleştirmiş, İngiliz düşünce tarihinde ilk defa felsefi bir okul kurmuş olmasından kaynaklanır. Bentham’ın geliştirdiği teori XVIII. yüzyılın soyut ve metafizik teorilerine karşı bir tepkidir. ‘Rasyonalizm’e karşı ‘ampirizm’i, ‘idealizm’e karşı ‘materyalizm’i ve ‘a priori’ olana karşı ‘a posteriori’ olanı savunan Bentham, bu yönüyle doğal hukuk okulu taraftarlarınca da şiddetle eleştirilmiştir. Doğru cevap A'dır."
Aşağıdaki seçeneklerden hangisi pozitif statü hakları olarak da bilinen haklardan biridir?," Alman hukuk teorisyeni Georg Jellinek ikinci kuşak hakları “pozitif statü hakları” olarak adlandırmaktadır. Bu haklar,"
"'Epistemoloji, diğer bir ifadeyle bilgi felsefesi ise bilme faaliyetinin bizatihi kendisi hakkındaki refleksiyonlardan oluşur.' Epistemolojinin iş gördüğü temel kategoriler aşağıdakilerden hangisinde doğru verilmiştir?","Epistemoloji, diğer bir ifadeyle bilgi felsefesi ise bilme faaliyetinin bizatihi kendisi hakkındaki refleksiyonlardan oluşur. Yani burada varolan eşya ve hadiselerin kendileri değil, bunlara dair bilginin imkânı hakkında düşünülür. Bir anlamda bizim varolanlar hakkındaki bilgilerimiz üzerine bir bilgiye ulaşma amaçlanır. Epistemolojinin iş gördüğü temel kategoriler “doğru” ve “yanlış”tır"
Aşağıdakilerden hangisi aritmetik değil de geometrik eşitliğe dayanan adalet türüdür?,Cevap B şıkkıdır. Cevap şıkkı dışındaki şıklar tanıma uygun değildir.
"""İnsanin zulüm ve baskıya karşı son çare olarak ayaklanmaya mecbur kalmaması için insan haklarının bir hukuk rejimi ile korunmasının esaslı bir zaruret olmasına ..."" ifadesi aşağıdakilerden hangisinde geçmektedir?",Birleşmiş Milletler İnsan Hakları Evrensel Beyannamesinin Önsözünde ‘’ İnsanin zulüm ve baskıya karşı son çare olarak ayaklanmaya mecbur kalmaması için insan haklarının bir hukuk rejimi ile korunmasının esaslı bir zaruret olmasına ...’’ denilerek vurgulanmıştır.
Aşağıdakilerden hangisi bir ahlaki yargı değildir?,"“Ahlâki yargı”, bize ahlâki olan, dolayısıyla da “ahlâk”a dair önemli ipuçları verebilecek niteliktedir. Ahlâki yargılar ile diğer yargılar arasında çok net bir fark vardır. Örneğin “Zina yanlıştır.” yargısı ile “İstanbul Türkiye’nin başkentidir.” yargısı arasında bir fark olduğu tartışma götürmez. Bu fark, en açık şekilde söz konusu yargıları oluşturan kelimelerin özelliklerinde görülür. Ahlâki yargılarda “doğru”, “yanlış”, “iyi”, “kötü”, “-meli, -malı”, “-mak zorunda” vb. kelime veya ibareler kullanılır. Bu kelime veya ibareler, değer bildiren terimlerdir. Demek ki değer terimlerinin kullanıldığı yargıların ahlâki yargılar olduğu rahatlıkla ileri sürülebilir. Terliyken soğuk su içilmez ise sağlıkla ilgili bir durumdur. "
Aşağıdakilerden hangisi her bir meslek türünün kendine özgü ahlâki davranış kodları olsa da bu farklı kodların belli başlı değerlerinden biri değildir?,"Her bir meslek türünün kendine özgü ahlâki davranış kodları olsa da bu farklı kodların belli başlı şu değerlerden oluştuğu görülmek insanlar arası ilişkilerde görülen tutum, davranış ve karar süreçlerini yönlendiren ilke ve değerler,töre, gelenek, görenek ve yerleşik alışkanlıklar,insanlığın, tarihi süreçte yaşam pratiğinden çıkardığı, insana has, evrensel boyutta kabul gören değerler, bilime, bilgiye ve teknolojiye dayalı değerler. Doğru cevap E seçeneğidir."
"İnsan haklarının adının konması, bir öğreti, akademik bir disiplin halini alması kaçıncı yüzyılda başlatılmıştır?","İnsan haklarının adının konması, bir öğreti, akademik bir disiplin halini almasının tarihi 17. yüzyıldan başlatılsa da insanlığın adalet mücadelesi insanlık tarihi kadar eskidir."
"Max Scheler'in değerler hiyerarşisine göre haz lama, acı çekme hangi basamak altında yer alır? ","Max Scheler'in değerler hiyerarşisine göre haz lama, acı çekme duyusal değerler altında yer alır. "
"“İş” kısaca, ücret karşılığında gerçekleştirilen çalışmaya denir buna göre “İş” kavramı ne ile ilişkilidir?","İş, kısaca ücret karşılığı gerçekleştirilen çalışmadır. Örneğin Amerikan İngilizcesi’nde ancak XIX. yüzyılın ikinci yarısından itibaren kullanılmaya başlanan iş teriminin, “bir ücret için yapılan çalışma, ödemeli bir pozisyon ya da istihdam”  şeklinde  tanımlandığını görüyoruz. Daha çok ekonomik bir bakış açısının ürünü bu tanımın dışında işi, psikolojik ve sosyolojik yönleri itibariyle ele alan yaklaşımlar da vardır.  Psikolojik açıdan iş, “bireye toplumda kabul edilmiş bir yer, statü ve kendine saygı gibi birtakım katkılar sağlayan bir olgu” olarak tanımlanır. Bu şekilde tanımlandığında yukarıda incelediğimiz çalışmadan pek de farkı kalmaz. Sosyolojik anlamda iş, “belirli bir ortamda bulunan teknik ve sosyal eylemler topluluğudur”. Burada işin, doğal ve toplumsal çevreyi dönüştürme özelliği vurgulanmaktadır. Fakat bu durumda iş ile iş olmayan arasındaki fark silikleşir. Zira doğal ve toplumsal çevreyi dönüştürme gücünü haiz, fakat bizim burada kabul ettiğimiz anlamda iş sayılamayacak bir çok insani etkinlik vardır."
Çağdaş ahlak felsefesinin aşağıda sıralanan yazarlardan hangisiyle başladığı kabul edilmektedir?,"Genellikle, çağdaş ahlâk felsefesinin, en azından Anglo-Sakson ahlâk felsefesinin, G.E. Moore’un (1873-1958) 1903 tarihli Principia Ethica isimli eseriyle başladığı kabul edilir."
Aşağıdakilerden hangisi adaletin türlerinden biridir? ,Diğer seçenekler konunun içeriğinde yer almamaktadır.
Etik aşağıda sıralanan seçeneklerden hangisinin bir alt alanıdır?,"Aksiyolojinin diğer bir alt alanı ise etiktir. Tıpkı estetik gibi yine insan eylemlerinin niteliği üzerine gerçekleştirilen bir felsefi düşünme şekli olarak
etik, “iyi” ve “kötü” kategorileriyle iş görür. Hangi eylemlerin “iyi”, hangilerinin “kötü” olduğunu, bir eylemi iyi veya kötü yapan özelliklerin ne olduğunu,
kısaca etiğin, etik ilişkinin doğasını sorgulama amacı taşıdığı söylenebilir."
Liberal siyaset anlayışı ile ilgili olarak verilen ifadelerden hangisi yanlıştır?,"Liberal siyaset teorisinin karakteristik özelliği, ortak iyiyi kendisine amaç edinen siyasi bir topluluğu kurmaya çalışan her türlü projeyi reddetmesidir. Bu anlamda liberal siyaset teorisi ahlaki çoğulculuğu kabul eder. Günümüzde pek çok liberal siyaset düşünürü açıkça bu düşünceyi savunur veinsanın amacını belirleyecek nesnel ahlak düzeninin varlığını reddeder. Onlara göre liberal düşünce, temel ahlâk sorunları karşısında nötr olmalıdır. Dolayısıyla liberal siyaset teorisi iyi hayat veya insanın doğası hakkında herkesçe kabul edilmiş birtakım doğruların olduğu düşüncesi üzerine kurulu bir siyaset kavramını kabul etmez. Onun asıl ilgilendiği kurallar ve ilkelerdir. Doğru cevap A'dır."
"Aşağıdakilerden hangisi, iş ile meslek karşılaştırmasıyla ilgili olarak yanlıştır?","Gündelik dilde en çok iş ile meslek karıştırılmaktadır. Zira bir kişi meslek sahibi olabilir fakat bu, her durumda işi olduğu veya fiilen bir işte çalıştığı anlamına gelmez. Keza her iş, aynı zamanda bir meslek olmayabilir; iş sahibi herkesin mutlaka bir mesleğinin de olduğu söylenemez. Doğru cevap B seçeneğidir."
"""En yüksek iyi""nin, ancak Tanrı’nın emirlerine uymak ve ilâhi kurtuluşa ermek aracılığıyla elde edileceğini söyleyen ahlak felsefesi yaklaşımı aşağıdakilerden hangisidir?","Ortaçağ din kaynaklı ahlâk felsefesi yaklaşımı, ‘en yüksek iyi’nin, ancak Tanrı’nın emirlerine uymak ve ilâhi kurtuluşa ermek aracılığıyla elde edileceğini söyleyerek, klasik yaklaşımdan farklılaşır."
Avrupa İnsan Hakları Sözleşmesine göre aşağıdaki seçeneklerden hangisi her ne koşulda olursa olsun sınırlanamaz haklardan biridir ?,"Avrupa İnsan Hakları Sözleşmesinin 15. m ile savaş vb olağanüstü durumlarda ilgili devlete sözleşme ile üstlendiği yükümlülüklerden bazılarını askıya alma tanınmıştır. Ancak, yaşama hakkı, işkence ve kölelik yasağı, suç ve cezaların yasallığı ilkeleri hiçbir koşulda sınırlanamamaktadır."
Nükleer silahların varlığı aşağıdaki etik türlerinden hangisine günümüzde ihtiyaç duyulmasını sağlamıştır?,"Barış hakkı ve barış etiği gibi kavramların önem kazanmasının sebebi kuşkusuz, nükleer silahların varlığı ve tüm insanlığı tehdit eden bir nükleer savaş ihtimalinden hâlâ bahsediliyor oluşudur. Pek çok düşünür, bilim insanı, aktivist söz konusu tehditin ciddiliğine ve geri dönüşü mümkün olmayan sonuçlar doğurabilecek riskler taşıdığına dikkat çekmektedir."
"Ahlak felsefesinin temel işlevinin, ‘betimleyici’ değil de ‘buyurucu’ yani ‘kural koyucu’ yargılar aracılığıyla ne yapmamız gerektiğini bildirmek olduğunu, dolayısıyla ‘olan’dan çok ‘olması gereken’le ilgilendiğini savunan teori aşağıdakilerden hangisidir?","Ahlak Mantıkçılığı, ahlak felsefesinin temel işlevinin, ‘betimleyici’ değil de ‘buyurucu’ yani ‘kural koyucu’ yargılar aracılığıyla ne yapmamız gerektiğini bildirmek olduğunu, dolayısıyla ‘olan’dan çok ‘olması gereken’le ilgilendiğini savunur. Doğru cevap ""A"" şıkkıdır. "
Aşağıdakilerden hangisi meslek tanımı içerisine girmez?,"Meslek;insanlara yararlı mal ve hizmetler üretmek ve bunun karşılığında para kazanmak için yapılan, belli bir eğitimle kazanılan sistemli bilgi ve becerilere dayalı, kuralları toplumca belirlenen ve etik değerleri kapsayan etkinlikler bütünüdür. Doğru cevap E seçeneğidir."
Aşağıdakilerden hangisi bilim etikçilerinin kabul ettiği diğer sorumluluk olan dış sorumluluk kavramı ile bağdaşmaktadır?,Cevap bulunamadı
"Bilimle uğraşan kişinin, uğraş alanının konusunu oluşturan araştırma ve çalışmalarda elde edilen bulguların gerçeği yansıtmasını sağlaması, o alana yönelik evrensel kabul görmüş uluslararası standartlara uygun yol ve yöntemler kullanması gerektiği anlamına gelir. Açıklama hangi sorumluluktan bahsetmektedir?","Bilim etikçileri, bilim insanının iki tür sorumluluğu olduğunu kabul eder; iç  ve dış sorumluluk.  İç sorumluluk, bilimle uğraşan kişinin, uğraş alanının konusunu oluşturan araştırma ve çalışmalarda elde edilen bulguların gerçeği yansıtmasını sağlaması, o alana yönelik evrensel kabul görmüş uluslararası standartlara uygun yol ve yöntemler kullanması gerektiği anlamına gelir. Doğru cevap A seçeneğidir."
"Hem mesleki hem ahlâki, ayrıca dini özellikleri de olan kurumlara ne ad verilir?","Hem mesleki hem ahlâki, ayrıca dini özellikleri de olan kurumlara Lonca adı verilir. Doğru cevap B seçeneğidir."
"Aşağıda verilen öncüllerdeki düşünürlerden hangileri meta etik teorilerden olan Bilişselciliği savunmaktadır.
I.G.E. Moore
II.Moritz Schlick
III.A.J.Ayer
IV.John Dewey","A.J.Ayer, Yadbilisselci düşünürlerdendir. Doğru cevap D'dir."
"Durkheim'ın ekonomik yaşamı düzeltmede çare olarak gördüğü ""Lonca teşkilatı"" ile ilgili olarak aşağıda verilen ifadelerden hangisi yanlıştır?","Loncalar hem mesleki hem ahlâki kurumlardır; ayrıca dini özellikleri de vardır. Mensupları, tıpkı bir ailenin üyeleri gibidir. Amaç salt kâr elde etmek değildir; çalışmak bir ödevdir. Doğru cevap E'dir."
"Aşağıdakilerden hangisi  “hücre yahut oda, özel tahsis edilmiş mekan” anlamına gelir?","Lonca, teşkilatlanmış esnafın birliğiyle ilgili çeşitli fonksiyonların icra edildiği özel
yerin adı olup teşkilatlanmış esnaf gruplarını ifade eden bir anlam da kazanmıştır.
Kelime İtalyanca loggiadan gelmektedir. Fransızca şekli olan loge Türkçe’de loca
olarak geçer ve “hücre yahut oda, özel tahsis edilmiş mekan” anlamına gelir."
"Aşağıdakilerden hangisi ""iş"" hakkında yanlış bir ifadedir?","Ekonomik bir bakış açısının ürünü olan işi, psikolojik ve sosyolojik yönleri itibariyle ele alan yaklaşımlar da vardır."
Tarihsel geçişe bakıldığında mesleklerde bir farklılaşma ve çeşitlenme olmuştur bunun sebebi aşağıdakilerden hangisidir?,"Kapitalizmin gelişmesiyle birlikte mesleklerde de bir farklılaşma ve çeşitlenme olmuş, çok farklı meslek türleri ortaya çıkmıştır. Farklılık ve çeşitlilik, geleneksel meslek anlayışını köklü bir değişime uğratmıştır. Sanayileşme, teknolojik ilerleme, şehirleşme ve bunların sonucunda toplum yaşamının giderek daha karmaşıklaşması, meslek ile bilgi ve
dolayısıyla eğitim arasında zorunlu bir bağın kurulmasını gerektirmiştir"
Bentham'ın faydacı etik anlayışına göre mutluluk aşağıdakilerden hangisinde gerçekleşir?,"Bentham’ın haz hakkındaki düşünceleri, beraberinde mutluluk ve fayda kavramlarını da getirir. Ona göre mutluluk, hazza erişmek ve acıdan kaçmak veya hazzın acıdan daha fazla olması demektir. Doğru yanıt D seçeneğidir. "
Meslek ile ahlâk arasındaki ilişkinin doğası üzerinde en fazla duran ünlü Fransız sosyolog aşağıdakilerden hangisidir?,Her ne kadar meslek etiği diye bir kavramın kullanılması yakın zamanlara kadar söz konusu değilse de meslek ile ahlâk arasındaki ilişkinin doğası üzerine düşünme çok daha eskilere uzanır. Modern düşünce tarihinde bu konu üzerinde belki de en fazla duran isimlerden biri ünlü Fransız sosyolog Émile Durkheim’dır.
Aşağıdakilerden hangisi Rawls'ın adalet teorisinde yer alan birincil değerlerden biri değildir?,"Rawls'a göre birincil değerler, her akıl sahibi insanın, kendi hayat görüşü ne olursa olsun sahiplenmek isteyeceği değerlerdir. Bunlar, hak ve özgürlükler, iktidar ve fırsatlar, gelir ve zenginlik, öz-saygıdır. Adalet ilkeleri işte bu değerlerin bölüşümüyle ilgilenir. Doğru cevap C'dir."
İnsan Hakları Evrensel Bildirgesi hangi tarihte kabul edilmiştir ?,"BM’nin 10 Aralık 1948’de kabul ettiği BM İnsan Hakları Evrensel Bildirisi, insan haklarının
uluslararası düzeyde korunmasına yönelik adımların ilki ve en önemlisidir."
Aşağıdakilerden hangisi ahlaki bir yargıdır?,"Ahlâki yargılar değer bildiren yargılardır. Bu yargılarda “doğru”, “yanlış”, “iyi”, “kötü”, “-meli, -malı”, “-mak zorunda” vb. gibi değer bildiren terimler kullanılır. ""Gençler büyüklerine saygı göstermelidir."" yargısı bu tanıma uyar.  ""Türkiye'nin başkenti Ankara'dır."" ve ""Su, 1 atmosfer basınçta 100 santigrat derecede kaynar."" yargıları değer değil, olgu bildirirler. ""Nasılsın, iyi misin?"" cümlesi bir yargı değil, soru cümlesidir. ""Hırsızlık, başkasına ait bir mülkü sahibinin izni olmaksızın almaktır."" yargısı ise bir değer değil, bir tanım bildiren bir yargıdır. Doğru yanıt B seçeneğidir.      "
Aşağıdakilerden hangisi ikinci kuşak insan haklarının arasında yer almaz?,Gelişme hakkı üçüncü kuşak insan haklarının arasında yer alır. Diğer seçenekler ise ikinci kuşak insan haklarıdır. 
"Bir imparator fiilen tüm yasaları koymaya yetkilidir. Ancak Stoalılar, imparatorun her şeyi yapamayacağını, adil olmayan yasalar koyamayacağını öne sürmüşlerdir. 
Yukarıdaki ifadede Stoalıların vurgu yaptığı hukuk türü aşağıdakilerden hangisidir? ","Doğal hukuk, bir kuralın ‘’hukuk’’, yani insan tarafından boyun eğmeye değer bir düzen ilkesi olabilmesi için içermesi ya da yansıtması zorunlu ideal koşullar olarak tanımlanabilir.Stoacılar, bu ifadeleriyle imparatorun her şeyi yapmaya hakkının olmadığını, yapılan yasaların (yani ortaya çıkan pozitif hukukun) doğal hukuka aykırı olamayacağını ve dolayısıyla imparatorun yetkilerinin sınırının doğal hukuk olduğunu savunmuştur. Doğru yanıt C seçeneğidir. "
Dış sorumluluk aşağıdaki seçeneklerden hangisinden oluşur?,Bilim etikçilerinin kabul ettiği diğer sorumluluk olan dış sorumluluk ise bilim insanının toplumuna karşı sahip olduğu yükümlülüklerden oluşur.
teşkilatlanmış esnafın birliğiyle ilgili çeşitli fonksiyonların icra edildiği özel yerin adı olup teşkilatlanmış esnaf gruplarını ifade eden kavram aşağıdakilerden hangisidir?,"Lonca, teşkilatlanmış esnafın birliğiyle ilgili çeşitli fonksiyonların icra edildiği özel yerin adı olup teşkilatlanmış esnaf gruplarını ifade eden bir anlam da kazanmıştır."
"Modern ahlak felsefesinin evreleri düşünüldüğünde günümüz ahlâk felsefecilerinin,
dikkatlerini, özerk birey düşüncesinden toplumla ilgili ahlâk sorunlarına, ahlâkın toplumla ilişkisine çevirdiği evre aşağıdakilerden hangisidir? ","Modern ahlak felsefesinin üçüncü evresi günümüz ahlâk felsefecilerinin, dikkatlerini, özerk birey düşüncesinden toplumla ilgili ahlâk sorunlarına, ahlâkın toplumla ilişkisine
çevirdiği evredir."
"Ahlâk alanındaki doğruların hiçbir aracıya ge­rek duyulmaksızın, sezgilerimiz aracılığıyla kavra­nabileceğini ileriye süren etik yaklaşım aşağıdakilerden hangisidir?","Ahlâk alanındaki doğruların hiçbir aracıya ge­rek duyulmaksızın, sezgilerimiz aracılığıyla kavra­nabileceğini ileriye süren etik yaklaşım sezgiciliktir. Dolayısıyla cevap “D” seçeneğidir."
"İspanya’da ortaya atılıp daha sonra Locke, Hobbes ve Rousseau gibi düşünürlerce ayrıntılı biçimde savunulan ve devletin onu kuran insanlarla birlikte yaptıkları sözleşmeyi ifade eden kuram hangisidir?","Toplum sözleşmesi denilen ve İspanya’da ortaya atılıp daha sonra Locke, Hobbes ve Rousseau gibi düşünürlerce ayrıntılı biçimde savunulan bu kuramda devlet, onu kuran
insanların birlikte yaptıkları bir sözleşmenin ürünüdür."
"İnsanın tasarlama, planlama, tercihte bulunma yetisine ne ad verilir?","İnsanın tasarlama, planlama, tercihte bulunma yetisine pratik akıl (ameli akıl, kılgısal us) denilmektedir. Doğru cevap ""A"" şıkkıdır."
"Aristoteles'in pazar adaleti dediği, eşya ve hizmetlerin değiş tokuşunda geçerli olan adalet türü aşağıdakilerden hangisidir?","Aristoteles’in pazar adaleti dediği, eşya ve hizmetlerin değiş tokuşunda geçerli adalet türü denkleştirici adalettir. Temelinde edim - karşı edim ilişkisinin yer aldığı bu adalet türünün temelinde bir eşitlik düşüncesi vardır. Doğru cevap D'dir."
"Aşağıdakilerden hangisi Meslek ahlâkı, herhangi bir meslek mensubuna kazandırdığı  ahlâki alışkanlıklardan değildir?","Meslek ahlâkı, herhangi bir meslek mensubuna birtakım ahlâki alışkanlıklar kazandırır. Bu alışkanlıklara örnek olarak şunlar gösterilebilir: iş ortamında saygınlık kazanma, iş ortamındaki güvenirlik, iş dünyasında iyi bir imaja sahip olma, meslek hayatında karşılaşılacak problemlerin çözümünde kolaylık görme, ahlâki değerlerle kalite yönetimi, stratejik planlama gibi alanların yönetilmesine de yardımcı olma, ahlâki değerlerle kurumların sosyal sorumluluklarını düzenli bir şekilde yerine getirmesini sağlama, ahlâki değerlerle haksız rekabetin engellenmesini sağlama, iş ortamında kabul görme "
"“İnsanın fiziksel çevresini değiştirmek için gerçekleştirdiği amaçlı bir çaba” tanımı, aşağıdakilerden hangisinin tanımıdır?","Meslek ile en çok karıştırılan kavramların başında iş ve çalışma gelir. Bu sebeple öncelikle bu üçü arasındaki farkları görmekte fayda var. Diğer ikisine göre daha kapsamlı olan çalışma, kısaca “insanın fiziksel çevresini değiştirmek için gerçekleştirdiği amaçlı bir çaba” şeklinde tanımlanabilir."
